,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,aflu,dz,31.88386691683572,1.4596728886126098,0.0,0,0,0.0,
1,hambantota,lk,-0.9161646583974347,87.48060198179465,75.7,87,{'all': 16},6.93,few clouds
2,norman wells,ca,73.34407355461018,-119.79498658930966,-9.4,83,{'all': 75},4.38,broken clouds
3,jamestown,sh,-28.164777850970548,-10.134298604770926,33.01,80,{'all': 1},17.65,clear sky
4,bluff,nz,-63.417943607140714,172.55191806285103,69.01,47,{'all': 0},3.0,clear sky
5,golyshmanovo,ru,56.26938477003951,68.6464734269123,13.75,95,{'all': 100},15.35,overcast clouds
6,busselton,au,-72.40736587888046,94.56783121781949,61.0,60,{'all': 0},7.0,clear sky
7,codrington,ag,23.913131129236703,-55.172555499263254,58.3,49,{'all': 67},11.3,broken clouds
8,bonthe,sl,0.6834604379108145,-19.842215037628897,78.94,87,{'all': 82},6.67,broken clouds
9,bluff,nz,-79.16990251547759,161.41087059524546,69.01,47,{'all': 0},3.0,clear sky
10,nsanje,mw,-17.156384784509196,35.81094623362141,75.76,84,{'all': 94},2.77,overcast clouds
11,guerrero negro,mx,19.64503693489092,-123.32875185780044,64.67,71,{'all': 0},10.54,clear sky
12,ponta do sol,cv,19.54174298577241,-24.799324814481103,60.8,67,{'all': 20},12.75,few clouds
13,makakilo city,us,14.069061339687488,-161.35744298830073,84.2,54,{'all': 75},10.29,broken clouds
14,salalah,om,17.258348104517907,49.538540405422836,73.4,56,{'all': 0},10.29,clear sky
15,albany,au,-86.87993317210415,102.09772998591679,32.0,71,{'all': 81},4.34,broken clouds
16,cherskiy,ru,82.18913726927448,162.3566786706269,-33.3,84,{'all': 0},1.72,clear sky
17,bredasdorp,za,-80.0855617629231,15.385908788556032,59.0,77,{'all': 73},4.7,broken clouds
18,port alfred,za,-53.958413272491526,34.17937697257466,66.99,86,{'all': 35},1.99,scattered clouds
19,vila velha,br,-27.454728998004192,-28.675271822689812,77.0,88,{'all': 20},8.05,few clouds
20,tuktoyaktuk,ca,87.11475764331473,-118.86626812958846,-7.6,83,{'all': 75},8.05,broken clouds
21,laguna,br,-35.182927691120526,-39.50447096092743,57.2,47,{'all': 1},4.7,clear sky
22,laguna,br,-35.00742245759679,-38.09251943770584,57.2,47,{'all': 1},4.7,clear sky
23,kirkwood,za,-33.25217348621097,24.84882188855883,55.4,62,{'all': 40},12.75,scattered clouds
24,vaitupu,wf,-12.070689846093506,-174.82893670076427,0.0,0,0,0.0,
25,sitka,us,52.689333050454245,-140.85365279917522,37.4,86,{'all': 90},4.18,light rain
26,samalaeulu,ws,2.2911271283266936,-164.0877605230862,0.0,0,0,0.0,
27,maragogi,br,-15.189309877271853,-24.56295027244567,77.36,80,{'all': 25},13.42,scattered clouds
28,ruatoria,nz,-37.56089820615645,179.48068289556025,0.0,0,0,0.0,
29,jalu,ly,24.625524501854812,25.224096495715948,52.23,57,{'all': 4},6.33,clear sky
30,san cristobal,ec,-5.220370510744879,-88.21921866114545,80.6,65,{'all': 20},4.7,few clouds
31,punta arenas,cl,-62.85948631391642,-79.2924134008466,60.8,36,{'all': 40},27.51,scattered clouds
32,carnarvon,au,-24.735890389517394,104.18420017251137,80.6,78,{'all': 0},8.05,clear sky
33,hermanus,za,-68.87473313943573,11.09354243682966,61.0,84,{'all': 93},12.41,overcast clouds
34,punta arenas,cl,-80.28114889665224,-95.72860769366106,60.8,36,{'all': 40},27.51,scattered clouds
35,lanzhou,cn,35.33409410175789,104.24149674198748,24.01,58,{'all': 82},2.73,broken clouds
36,hithadhoo,mv,-9.317862172432934,81.4218082135245,81.91,74,{'all': 17},7.31,few clouds
37,meyungs,pw,10.885647772963921,134.00498561636473,0.0,0,0,0.0,
38,rikitea,pf,-77.91455946102411,-138.65827728356797,78.26,80,{'all': 80},13.98,light rain
39,kibre mengist,et,5.956381486800576,39.99010150156313,50.41,51,{'all': 4},3.27,clear sky
40,hermanus,za,-73.60886976344177,8.730205466451835,61.0,84,{'all': 93},12.41,overcast clouds
41,ushuaia,ar,-89.99388264951675,-62.35641524288547,66.2,20,{'all': 75},26.4,broken clouds
42,vaini,to,-50.16354306477893,-175.97411700893485,78.8,94,{'all': 75},1.12,moderate rain
43,mar del plata,ar,-57.509338755191195,-36.92797094379397,69.01,94,{'all': 90},13.87,overcast clouds
44,punta arenas,cl,-69.67572196095172,-80.78504772074307,60.8,36,{'all': 40},27.51,scattered clouds
45,yaan,cn,31.37440570654392,99.66322262581026,77.49,28,{'all': 9},0.89,clear sky
46,tsihombe,mg,-49.915835636170634,48.18442695028183,0.0,0,0,0.0,
47,galle,lk,5.111747934831015,78.57379084682586,76.33,87,{'all': 17},3.36,few clouds
48,porto novo,cv,14.025433550394073,-36.247751657664516,82.4,83,{'all': 20},3.36,few clouds
49,nikolskoye,ru,56.90790219524925,173.5562103778051,28.4,86,{'all': 90},11.18,overcast clouds
50,puerto ayora,ec,-2.708189404361139,-92.6187480227545,73.0,90,{'all': 78},4.0,broken clouds
51,vanimo,pg,-3.2167292383492505,138.8246871621097,83.46,74,{'all': 94},1.23,light rain
52,hermanus,za,-85.41531631962577,11.747135331145953,61.0,84,{'all': 93},12.41,overcast clouds
53,ushuaia,ar,-81.39041231216267,-29.561962410597392,66.2,20,{'all': 75},26.4,broken clouds
54,paradwip,in,18.05086443568842,89.20132397574206,0.0,0,0,0.0,
55,trelew,ar,-43.09284125882827,-65.6401033691866,77.38,50,{'all': 97},16.28,light rain
56,hermanus,za,-82.69570129618268,11.189018375888192,61.0,84,{'all': 93},12.41,overcast clouds
57,kieta,pg,-4.9398997964510585,157.04533701052804,84.97,67,{'all': 86},4.0,light rain
58,berlevag,no,81.3189550853226,30.60868902270714,23.74,91,{'all': 100},21.81,overcast clouds
59,ternate,id,3.2528763539290866,129.28296465489134,81.45,77,{'all': 100},6.38,overcast clouds
60,rikitea,pf,-14.778955310622859,-130.3243634989891,78.26,80,{'all': 80},13.98,light rain
61,daru,pg,-13.028848615620838,143.655621754206,85.26,71,{'all': 91},5.73,light rain
62,nizhneyansk,ru,85.27587430407337,134.15572700167164,0.0,0,0,0.0,
63,samusu,ws,-1.065217995743894,-160.6255398402088,0.0,0,0,0.0,
64,deputatskiy,ru,71.61696846434906,143.17683900644028,-18.06,88,{'all': 100},8.16,overcast clouds
65,ahuimanu,us,30.88756540658763,-154.67280714807535,84.2,65,{'all': 75},16.11,broken clouds
66,avarua,ck,-53.78854007566107,-162.80493239288924,78.8,88,{'all': 1},4.7,light rain
67,hermanus,za,-82.18868371147711,-7.26552484165295,61.0,84,{'all': 93},12.41,overcast clouds
68,rikitea,pf,-46.313050261706906,-116.83774474855443,78.26,80,{'all': 80},13.98,light rain
69,chokurdakh,ru,75.5476269619862,146.5848836589911,-32.03,82,{'all': 1},4.56,clear sky
70,tynda,ru,55.695213824973784,123.90884538836613,-34.8,77,{'all': 51},3.56,broken clouds
71,mataura,pf,-65.1046945470386,-162.63355169007383,69.01,47,{'all': 0},3.0,clear sky
72,albany,au,-68.21276511074963,120.37108597862942,32.0,71,{'all': 81},4.34,broken clouds
73,nantucket,us,36.619764023821666,-70.37860716490665,35.01,64,{'all': 1},4.7,clear sky
74,gat,ly,23.82785598419888,10.96105445459139,57.0,59,{'all': 3},3.0,clear sky
75,new norfolk,au,-78.73532278985083,130.5447237894785,62.01,43,{'all': 1},4.0,clear sky
76,ushuaia,ar,-78.26257735009462,-63.40345352130533,66.2,20,{'all': 75},26.4,broken clouds
77,san cristobal,ec,-4.8639413316847335,-89.04085253394187,80.6,65,{'all': 20},4.7,few clouds
78,mataura,pf,-30.53356411686344,-153.59700461835644,69.01,47,{'all': 0},3.0,clear sky
79,castro,cl,-45.55851213198396,-105.19356026155455,63.19,95,{'all': 31},7.7,scattered clouds
80,cape town,za,-55.603314377501164,-3.3283382326244535,64.99,68,{'all': 0},14.99,clear sky
81,narsaq,gl,79.7192610749515,-61.43966135542663,32.0,71,{'all': 100},1.12,overcast clouds
82,coihaique,cl,-46.84131522511961,-74.1412325599566,75.2,38,{'all': 40},8.05,scattered clouds
