City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,hambantota,lk,75.7,few clouds,-0.9161646583974348,87.48060198179466,
3,jamestown,sh,33.01,clear sky,-28.164777850970548,-10.134298604770926,
4,bluff,nz,69.01,clear sky,-63.41794360714072,172.55191806285103,
5,golyshmanovo,ru,13.75,overcast clouds,56.26938477003951,68.6464734269123,
6,busselton,au,61.0,clear sky,-72.40736587888046,94.56783121781947,
7,codrington,ag,58.3,broken clouds,23.913131129236703,-55.17255549926325,
8,bonthe,sl,78.94,broken clouds,0.6834604379108145,-19.842215037628893,
9,bluff,nz,69.01,clear sky,-79.16990251547759,161.41087059524548,
10,nsanje,mw,75.76,overcast clouds,-17.156384784509196,35.81094623362141,
11,guerrero negro,mx,64.67,clear sky,19.64503693489092,-123.32875185780044,
12,ponta do sol,cv,60.8,few clouds,19.54174298577241,-24.799324814481107,
13,makakilo city,us,84.2,broken clouds,14.069061339687488,-161.35744298830073,
14,salalah,om,73.4,clear sky,17.258348104517907,49.53854040542284,
15,albany,au,32.0,broken clouds,-86.87993317210415,102.0977299859168,
17,bredasdorp,za,59.0,broken clouds,-80.08556176292309,15.385908788556032,
18,port alfred,za,66.99,scattered clouds,-53.95841327249153,34.17937697257466,
19,vila velha,br,77.0,few clouds,-27.454728998004192,-28.67527182268981,
21,laguna,br,57.2,clear sky,-35.18292769112053,-39.50447096092743,
22,laguna,br,57.2,clear sky,-35.00742245759679,-38.092519437705846,
23,kirkwood,za,55.4,scattered clouds,-33.25217348621097,24.848821888558827,Wolwefontein Hotel
25,sitka,us,37.4,light rain,52.68933305045425,-140.85365279917522,
27,maragogi,br,77.36,scattered clouds,-15.189309877271853,-24.562950272445676,
29,jalu,ly,52.23,clear sky,24.625524501854812,25.224096495715948,
30,san cristobal,ec,80.6,few clouds,-5.220370510744878,-88.21921866114546,
31,punta arenas,cl,60.8,scattered clouds,-62.85948631391643,-79.2924134008466,
32,carnarvon,au,80.6,clear sky,-24.735890389517394,104.18420017251137,
33,hermanus,za,61.0,overcast clouds,-68.87473313943573,11.09354243682966,
34,punta arenas,cl,60.8,scattered clouds,-80.28114889665223,-95.72860769366106,
35,lanzhou,cn,24.01,broken clouds,35.33409410175789,104.24149674198748,
36,hithadhoo,mv,81.91,few clouds,-9.317862172432934,81.4218082135245,
38,rikitea,pf,78.26,light rain,-77.91455946102411,-138.65827728356797,
39,kibre mengist,et,50.41,clear sky,5.956381486800576,39.99010150156313,
40,hermanus,za,61.0,overcast clouds,-73.60886976344176,8.730205466451835,
41,ushuaia,ar,66.2,broken clouds,-89.99388264951675,-62.35641524288547,
42,vaini,to,78.8,moderate rain,-50.16354306477893,-175.97411700893485,
43,mar del plata,ar,69.01,overcast clouds,-57.5093387551912,-36.927970943793966,
44,punta arenas,cl,60.8,scattered clouds,-69.67572196095172,-80.78504772074307,
45,yaan,cn,77.49,clear sky,31.37440570654392,99.66322262581026,
47,galle,lk,76.33,few clouds,5.111747934831015,78.57379084682586,
48,porto novo,cv,82.4,few clouds,14.025433550394073,-36.24775165766452,
